시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,우편번호,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,임대세대수(공공),임대세대수(민간),관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,주택관리업자 사업자등록번호,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리-관리방식,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애인),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,홈네트워크,긴급자동차 출입가능한 출입문,선택한출입문의 주차관제시스템,긴급전용번호판자동인식여부,긴급자동차 출입방법,긴급자동차 즉시통과,관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
서울특별시,종로구,,내수동,A11007001,경희궁의아침3단지,아파트,서울특별시 종로구 내수동 72 경희궁의아침3단지,3174.0,서울특별시 종로구 사직로8길 34,분양,20040517.0,20090511,1,150.0,150.0,0.0,0,0.0,위탁관리,개별난방,계단식,쌍용건설,군인공제조합,우리관리주식회사,1148123107,위탁관리,5.0,위탁관리,4.0,에스원,위탁관리,4.0,좋은서비스,차량수거방식,위탁관리,좋은서비스,12,"도포식,분무식",철근콘크리트구조,2150,종합계약,상주선임,R형,부스타방식,위탁관리,0.0,0.0,5.0,0.0,0.0,0.0,315.0,0.0,315.0,82.0,무,지하주차장,유,여,,가능,서울시 종로구 사직로8길34,027224433,027340253,"관리사무소, 주민공동시설",16,16.0,3.0,271.0,7.0,미설치,설치,0.0,2.0,,입주민전용,,0시 0분,,23시 0분,◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|2|한국전력|,0.0,2.0,없음
서울특별시,종로구,,내수동,A10021295,경희궁의아침4단지,아파트,서울특별시 종로구 내수동 73- 경희궁의아침4단지,,,분양,20040517.0,20241128,1,120.0,120.0,0.0,0,0.0,위탁관리,개별난방,계단식,쌍용건설,군인공제회,우리관리(주),1148123107,위탁관리,18.0,위탁관리,,성진시스템,위탁관리,6.0,성진시스템,기타,위탁관리,좋은서비스,12,"도포식,분무식",철근콘크리트구조,1700,단일계약,상주선임,R형,부스타방식,위탁관리,8.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,458.0,87.0,유,후문,무,,,가능,서울시 종로구 새문안로3길 23,027324975,027324976,,1,,1.0,5.0,5.0,미설치,설치,0.0,4.0,,입주민전용,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|지에스차지비|,0.0,4.0,없음
서울특별시,종로구,,내수동,A10021652,경희궁파크팰리스,아파트,서울특별시 종로구 내수동 95- 경희궁파크팰리스,,,분양,20031119.0,20241113,1,142.0,142.0,0.0,0,0.0,자치관리,개별난방,계단식,삼성물산,확인불가, , ,자치관리,9.0,,,,자치관리(직영),4.0,,,위탁관리,진도프로인,,-,철근콘크리트구조,1350,종합계약,상주선임,R형,부스타방식,위탁관리,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,283.0,158.0,무,지상주차장,유,여,,가능,서울특별시 종로구 사직로8길 20,027375271,027375272,,1,,4.0,283.0,5.0,미설치,설치,0.0,3.0,,,,0시 0분,,0시 0분,◆1◆|지하|벽부형충전기|직접입력|완속|3|차지비|,0.0,3.0,없음
서울특별시,종로구,,신문로2가,A11005401,광화문스페이스본 아파트,아파트,"서울특별시 종로구 신문로2가 1-434,서울특별시 종로구 신문로2가 1-435 광화문스페이스본 아파트",3168.0,"서울특별시 종로구 사직로8길 4,서울특별시 종로구 경희궁길 57",분양,20080711.0,20090511,6,744.0,744.0,0.0,0,0.0,위탁관리,,복도식,풍림산업(주),사직1구역 도심 재개발조합,(주)아주관리,2098134445,위탁관리,12.0,위탁관리,16.0,(주)아주관리,위탁관리,14.0,(주)아주관리,거점장비수거방식,위탁관리,,12,"도포식,분무식",철골철근콘크리트구조,6150,종합계약,상주선임,R형,부스타방식,위탁관리,21.0,0.0,0.0,0.0,0.0,0.0,1415.0,10.0,1405.0,256.0,유,정문,유,여,,가능,"서울특별시 종로구 사직로8길 4, (사직동, 광화문풍림스페이스본 아파트)",027373388,027373399,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",14,14.0,4.0,1123.0,0.0,미설치,설치,0.0,40.0,,입주민전용,,0시 0분,,23시 59분,"◆1◆|지하|스탠드형충전기|직접입력|급속|1|KEPCO 한국전력|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|3|KEPCO 한국전력|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|3|차지비|,◆4◆|지하|스탠드형충전기|AC단상 5핀|완속|33|에버온|,◆5◆|지하|벽부형충전기|AC단상 5핀|완속|47|스타코프|,◆6◆|지하|벽부형충전기|AC단상 5핀|완속|48|홈앤차지|",0.0,135.0,없음
서울특별시,종로구,,익선동,A11034001,현대뜨레비앙,주상복합,서울특별시 종로구 익선동 55 현대뜨레비앙,3132.0,서울특별시 종로구 돈화문로11가길 59,분양,20031129.0,20090511,1,291.0,291.0,0.0,0,0.0,위탁관리,개별난방,복도식,현대건설,팬퍼시픽,인덕종합관리(주),2108119648,위탁관리,4.0,위탁관리,4.0,인덕종합관리(주),위탁관리,2.0,인덕종합관리(주),음식물쓰레기종량제,위탁관리,굿에어테크,12,"도포식,분무식,기구설치식,독이식",철근콘크리트구조,1250,단일계약,위탁선임,GR형,부스타방식,위탁관리,2.0,0.0,1.0,1.0,0.0,0.0,204.0,0.0,204.0,56.0,무,동문,무,,,가능,서울시 돈화문로 11가길 59,027430416,027430417,"관리사무소, 자전거보관소",9,9.0,3.0,253.0,0.0,미설치,미설치,0.0,0.0,,외부인허용,시 분,시 분,시 분,시 분,,,,없음
서울특별시,종로구,,낙원동,A10020992,낙원아파트,주상복합,서울특별시 종로구 낙원동 288- 낙원아파트,,,분양,19680915.0,20250106,1,149.0,149.0,0.0,0,0.0,위탁관리,개별난방,복도식,대일건설,대일건설,주식회사 우창개발,7858100342,위탁관리,,,,,,,,,,,,-,,,,,,,,,,,,,,0.0,,,,,,,,,가능,서울시 종로구 삼일대로 428 낙원아파트 8층,027420653,027664602,,1,,0.0,,,,,,,,,,,,,,,,없음
서울특별시,종로구,,인의동,A11041001,효성주얼리시티아파트,주상복합,서울특별시 종로구 인의동 48-2 효성주얼리시티아파트,3130.0,서울특별시 종로구 종로 183,분양,20061027.0,20090511,2,298.0,298.0,0.0,0,0.0,위탁관리,개별난방,계단식,(주)효성건설,태승플레이,서일개발(주),2158112581,위탁관리,6.0,위탁관리,6.0,듀델코리아(주),위탁관리,6.0,엘림에스(주),음식물쓰레기종량제,위탁관리,테강티엠에스,12,분무식,철골철근콘크리트구조,2000,종합계약,상주선임,GR형,부스타방식,위탁관리,8.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,428.0,81.0,무,정문,유,여,,가능,서울시 종로구 종로183(인의동) A동 1층,0262603500,0262603502,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",19,19.0,5.0,447.0,15.0,미설치,설치,0.0,2.0,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|2|한국전력|,0.0,2.0,없음
서울특별시,종로구,,효제동,A10027162,포레스트힐시티,도시형 생활주택(주상복합),서울특별시 종로구 효제동 65-2 포레스트힐시티,3128.0,서울특별시 종로구 대학로 33,분양,20170120.0,20170220,1,152.0,152.0,0.0,0,0.0,위탁관리,개별난방,타워형,신홍선건설,마르코통상,주식회사 에이치피엠씨,4778800493,위탁관리,3.0,위탁관리,2.0,휴플러스(주),위탁관리,1.0,,음식물쓰레기종량제,위탁관리,,6,"도포식,분무식",철골철근콘크리트구조,500,종합계약,위탁선임,P형,부스타방식,위탁관리,2.0,0.0,0.0,0.0,0.0,0.0,93.0,3.0,90.0,32.0,무,지상주차장,무,,,가능,서울 종로구 대학로 33 (효제동),027437430,027437431,"관리사무소, 주민공동시설, 자전거보관소",14,14.0,3.0,20.0,0.0,미설치,미설치,0.0,0.0,,,,,,,,,,없음
서울특별시,종로구,,충신동,A10023586,힐스테이트 창경궁,주상복합,서울특별시 종로구 충신동 60 힐스테이트 창경궁,3123.0,서울특별시 종로구 율곡로 236,혼합,20220929.0,20221026,1,181.0,160.0,21.0,0,21.0,위탁관리,개별난방,계단식,현대건설,에스와이상영개발,에이제이대원 주식회사,1178106882,위탁관리,4.0,위탁관리(직영+위탁),2.0,주)에이제이대원,위탁관리(직영+위탁),2.0,주)에이제이대원,음식물쓰레기종량제,위탁관리,주)좋은생활환경,12,"도포식,독이식",철골철근콘크리트구조,900,종합계약,위탁선임,R형,부스타방식,위탁관리,4.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,230.0,126.0,유,지상주차장,무,,,가능,"서울특별시 종로구 율곡로 236(충신동, 힐스테이트 창경궁)",027657736,027657737,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",15,15.0,5.0,230.0,4.0,미설치,설치,0.0,3.0,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|스탠드형충전기|DC콤보 7핀|완속|3|kRP|,0.0,3.0,없음
서울특별시,종로구,,명륜2가,A11052201,명륜아남1차,아파트,서울특별시 종로구 명륜2가 4 명륜아남1차,3075.0,서울특별시 종로구 창경궁로 265,분양,19951222.0,20090511,3,436.0,436.0,0.0,0,0.0,위탁관리,개별난방,계단식,아남건설(주),총무처주택조합외 11개 조합,서림주택관리(주),1088138338,위탁관리,5.0,위탁관리,8.0,(주)국보종합관리,위탁관리,4.0,(주)국보종합관리,거점장비수거방식,위탁관리,(주)굿에어테크,12,"도포식,분무식",철근콘크리트구조,1200,단일계약,상주선임,P형,부스타방식,위탁관리,12.0,0.0,0.0,0.0,0.0,0.0,438.0,130.0,308.0,66.0,무,정문,무,,,가능,종로구 창경궁로 265,027479717,027479718,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,20.0,3.0,476.0,1.0,미설치,설치,0.0,3.0,,외부인허용,시 분,24시 0분,시 분,24시 0분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|2|kepco|,◆2◆|지하|스탠드형충전기|AC3상 7핀|급속|1|kepco|",0.0,3.0,없음
